[TEXTURES]
# id	file_path	red green	blue

0	Map\map1-1_bank.png	255	0	0
10	textures\mario.png	255	255	255
20	textures\enemies.png	3	26	110
30	textures\enemies-2.png	0	128	128
40	textures\misc.png	176	224	248
50	textures\enemies-3.png	41	88	124
60	textures\misc-1.png	166	185	255
70	textures\HUD-BG.png	255	0	0
80	textures\HUD.png	0	224	142
130	textures\mario-1-left.png	68	145	190
140	textures\mario-1-right.png	68	145	190

[MAP]
# PosX	PosY	TotalRowsOfMap	TotalColumnsOfMap	TotalRowsOfTileSet		TotalColumnsOfTileSet	TileSetID	MapMatrixPath

0	0	27	208	13	11	0	Map\map1-1.txt

[ZONE]
# id	left	top	right	bottom

1	0	0	2816	432
2	2816	0	3328	192

[SPRITES]
# ID left top right bottom texID

# MARIO DIE
10099	307	16	323	32	130

# MARIO BIG
# big idle right
10001	505	92	521	120	140
# big walk right
10002	469	92	485	120	140
10003	487	92	503	120	140
# big jump right
10004	433	92	449	120	140
# big run right
10005	360	92	379	120	140
10006	386	92	405	120	140
10007	412	92	431	120	140
# big driff tight
10008	311	92	327	120	140
# big idle left
10011	1	92	17	120	130
# big walk left
10012	19	92	35	120	130
10013	37	92	53	120	130
# big jump left
10014	73	92	89	120	130
# big run left
10015	91	92	110	120	130
10016	117	92	136	120	130
10017	143	92	162	120	130
# big driff left
10018	195	92	211	120	130

# MARIO SMALL
# small idle right
10021	505	16	521	32	140
# small walk right
10022	433	16	449	32	140
10023	451	16	467	32	140
# small jump right
10024	469	16	485	32	140
# small idle left
10031	1	16	17	32	130
# small walk left
10032	55	16	71	32	130
10033	73	16	89	32	130
#small jump left
10034	37	16	53	32	130

# MARIO RACCOON
# raccoon idle right
10041	498	350	521	378	140
# raccoon walk right
10042	472	350	495	378	140
10043	446	350	469	378	140
# raccoon jump right
10044	394	350	417	378	140
# raccoon run right
10045	263	350	287	378	140
10046	289	350	313	378	140
10047	315	350	339	378	140
# raccoon driff right
10048	167	350	183	378	140
# raccoon spin right
10201	37	350	67	378	140
10202	70	350	100	378	140
10203	103	350	133	378	140
10204	135	350	165	378	140
# raccoon fly right
10205	185	350	209	378	140
10206	211	350	235	378	140
10207	237	350	261s	378	140
# raccoon idle left
10051	1	350	24	378	130
# raccoon walk left
10052	27	350	50	378	130
10053	53	350	76	378	130
# raccoon jump left
10054	105	350	128	378	130
# raccoon run left
10055	183	350	207	378	130
10056	209	350	233	378	130
10057	235	350	259	378	130
# raccoon driff left
10058	339	350	355	378	130
# raccoon fly left
10215	261	350	285	378	130
10216	287	350	311	378	130
10217	313	350	337	378	130
# raccoon spin left
10211	455	350	485	378	130
10212	422	350	452	378	130
10213	389	350	419	378	130
10214	357	350	387	378	130

# MARIO FIRE
# fire idle right
10061	505	264	521	292	140
# fire walk right
10062	487	264	503	292	140
10063	469	264	485	292	140
# fire jump right
10064	433	264	449	292	140
# fire run right
10065	360	264	379	292	140
10066	386	264	405	292	140
10067	412	264	431	292	140
# fire driff right
10068	311	264	327	292	140
# fire idle left
10071	1	264	17	292	130
# fire walk left
10072	19	264	35	292	130
10073	37	264	53	292	130
# fire jump left
10074	73	264	89	292	130
# fire run left
10075	91	264	110	292	130
10076	117	264	136	292	130
10077	143	264	162	292	130
# fire driff left
10078	195	264	211	292	130

# MARIO FIRE BULLET
# mario fire bullet right
10101	240	554	248	562	10
10102	258	554	266	562	10
10103	258	574	266	582	10
10104	240	573	248	581	10

# mario fire bullet left
10111	198	554	206	562	10
10112	180	554	188	562	10
10113	180	574	188	582	10
10114	198	573	206	581	10

# GOOMBA
# goomba walk
30001	5	14	21	29	20
30002	25	14	41	29	20

# goomba die y
30003	45	21	61	29	20

# goomba die x
30004	136	35	152	51	20

# KOOPA
# koopa walking right
70001	170	191	186	218	30
70002	187	191	203	218	30

# koopa walking left
70003	205	191	221	218	30
70004	222	191	238	218	30

# shell idle
20001	239	202	255	218	30

# shell walking
20002	256	202	272	218	30
20003	273	202	289	218	30
20004	290	202	306	218	30

# shell be hug
20005	152	202	168	218	30

# BLOCK
# ground block
0	48	176	64	192	0
1	64	176	80	192	0
2	80	176	96	192	0

# box block
3	144	64	160	80	0

# pipe block
4	64	16	80	32	0
5	80	16	96	32	0
6	112	16	128	32	0
7	128	16	144	32	0

# cloud block
8	144	32	160	48	0

# green block
9	80	48	96	60	0
10	96	48	112	60	0
11	112	48	128	60	0

# pink block
12	144	16	160	32	0
13	160	16	176	32	0
14	0	32	16	48	0

# blue block
15	64	80	80	96	0
16	80	80	96	96	0
17	96	80	112	96	0

# white block
18	80	64	96	80	0
19	96	64	112	80	0
20	112	64	128	80	0

# cave block
21	64	0	80	16	0

# black pipe block
22	80	0	96	16	0
23	96	0	112	16	0
24	144	0	160	16	0
25	160	0	176	16	0

# PARAGOOMBA
# paragoomba walk
100000	88	0	104	16	50
100001	104	0	120	16	50
# paragoomba die x
100002	271	0	287	16	50
# paragoomba die y
100003	120	7	136	16	50
# paragoomba wing right
100004	144	2	152	15	50
100005	136	2	144	15	50

# paragoomba wing left
100006	256	2	264	15	50
100007	264	2	272	15	50

# COIN
50001	334	100	348	116	60
50002	291	100	305	116	60
50003	353	100	367	116	60
50004	370	100	384	116	60

# BREAK BLOCK
# break block idle
11001	274	188	290	204	60
11002	293	188	309	204	60
11003	312	188	328	204	60
11004	331	188	347	204	60
#break block lock
11005	235	188	251	204	60

# SWITCHBLOCK
# switch block idle
12001	156	144	172	160	60
12002	178	144	194	160	60
# switch block actived
12003	200	153	216	160	60

# BRICK REWARD
# brick reward idle
60001	157	188	173	204	60
60002	176	188	192	204	60
60003	196	188	212	204	60
60004	215	188	231	204	60

# brick reward lock
60005	235	188	251	204	60

# SUPERMUSHROOM
# supermushroom level
40001	156	121	172	137	60

# supermushroom life
40002	286	121	302	137	60

# SUPERLEAF
13001	180	123	196	137	60

# GATE
14001	400	167	416	183	60

# HUD
# hud background
15001	0	0	310	40	70

# hud run stack normal
15011	64	162	72	169	80
# hud run stack max
15012	73	162	88	169	80

# hud number
15020	77	31	85	38	80
15021	87	31	95	38	80
15022	97	31	105	38	80
15023	107	31	115	38	80
15024	117	31	125	38	80
15025	127	31	135	38	80
15026	137	31	145	38	80
15027	147	31	155	38	80
15028	157	31	165	38	80
15029	167	31	175	38	80

# hud lottery mushroom
15031	184	159	208	187	80

# hud lottery flower
15032	208	159	232	187	80

# hud lottery star
15033	232	159	256	187	80

# BREAK BLOCK PIECE
16001	386	144	394	152	60
16002	395	144	403	162	60

# POINT
# point lvlup
17001	195	89	211	97	80

#point 100
17002	60	89	72	97	80

# PIRANHA PLANT
18001	0	144	16	176	50
18002	16	144	32	176	50

# VENUS FIRE TRAP

# VENUS FIRE TRAP GREEN

# green bottom left
19001	32	144	48	176	50
19002	48	144	64	176	50

# green top left
19003	64	144	80	176	50
19004	80	144	96	176	50

# green top right
19005	32	208	48	240	50
19006	48	208	64	240	50

# green bottom right
19007	64	208	80	240	50
19008	80	208	96	240	50

# VENUS FIRE TRAP RED

# red bottom left
19011	128	144	144	176	50
19012	144	144	160	176	50

# red top left
19013	160	144	176	176	50
19014	176	144	192	176	50

# red top right
19015	128	208	144	240	50
19016	144	208	160	240	50

# red bottom right
19017	160	208	176	240	50
19018	176	208	192	240	50

